seriename,date,value
ESP,1.6.1988,0.01992
ESP,1.9.1988,0.00845
ESP,1.12.1988,-0.00252
ESP,1.3.1989,-0.01243
ESP,1.6.1989,-0.02092
ESP,1.9.1989,-0.02802
ESP,1.12.1989,-0.03406
ESP,1.3.1990,-0.03943
ESP,1.6.1990,-0.04427
ESP,1.9.1990,-0.04853
ESP,1.12.1990,-0.05202
ESP,1.3.1991,-0.05455
ESP,1.6.1991,-0.05596
ESP,1.9.1991,-0.056
ESP,1.12.1991,-0.05438
ESP,1.3.1992,-0.051
ESP,1.6.1992,-0.04616
ESP,1.9.1992,-0.04043
ESP,1.12.1992,-0.03451
ESP,1.3.1993,-0.02907
ESP,1.6.1993,-0.02461
ESP,1.9.1993,-0.02147
ESP,1.12.1993,-0.0199
ESP,1.3.1994,-0.01981
ESP,1.6.1994,-0.02068
ESP,1.9.1994,-0.02166
ESP,1.12.1994,-0.02179
ESP,1.3.1995,-0.0202
ESP,1.6.1995,-0.01637
ESP,1.9.1995,-0.01007
ESP,1.12.1995,-0.00129
ESP,1.3.1996,0.00961
ESP,1.6.1996,0.0219
ESP,1.9.1996,0.03458
ESP,1.12.1996,0.04647
ESP,1.3.1997,0.05652
ESP,1.6.1997,0.06411
ESP,1.9.1997,0.06882
ESP,1.12.1997,0.07042
ESP,1.3.1998,0.06895
ESP,1.6.1998,0.06458
ESP,1.9.1998,0.05768
ESP,1.12.1998,0.04887
ESP,1.3.1999,0.03854
ESP,1.6.1999,0.0269
ESP,1.9.1999,0.01417
ESP,1.12.1999,0.00067
ESP,1.3.2000,-0.01324
ESP,1.6.2000,-0.02699
ESP,1.9.2000,-0.04006
ESP,1.12.2000,-0.05198
ESP,1.3.2001,-0.062
ESP,1.6.2001,-0.06927
ESP,1.9.2001,-0.07314
ESP,1.12.2001,-0.07321
ESP,1.3.2002,-0.06948
ESP,1.6.2002,-0.0623
ESP,1.9.2002,-0.05214
ESP,1.12.2002,-0.03956
ESP,1.3.2003,-0.02539
ESP,1.6.2003,-0.01047
ESP,1.9.2003,0.00442
ESP,1.12.2003,0.0187
ESP,1.3.2004,0.03212
ESP,1.6.2004,0.04469
ESP,1.9.2004,0.05638
ESP,1.12.2004,0.06708
ESP,1.3.2005,0.07648
ESP,1.6.2005,0.08402
ESP,1.9.2005,0.08898
ESP,1.12.2005,0.09069
ESP,1.3.2006,0.08848
ESP,1.6.2006,0.08179
ESP,1.9.2006,0.07038
ESP,1.12.2006,0.05444
ESP,1.3.2007,0.03491
ESP,1.6.2007,0.01356
ESP,1.9.2007,-0.00749
ESP,1.12.2007,-0.02626
ESP,1.3.2008,-0.04122
ESP,1.6.2008,-0.05135
ESP,1.9.2008,-0.05611
ESP,1.12.2008,-0.05551
ESP,1.3.2009,-0.05052
ESP,1.6.2009,-0.04302
ESP,1.9.2009,-0.03536
ESP,1.12.2009,-0.02974
ESP,1.3.2010,-0.02746
ESP,1.6.2010,-0.02897
ESP,1.9.2010,-0.03411
ESP,1.12.2010,-0.04219
ESP,1.3.2011,-0.05186
ESP,1.6.2011,-0.06123
ESP,1.9.2011,-0.06805
ESP,1.12.2011,-0.07027
ESP,1.3.2012,-0.06689
ESP,1.6.2012,-0.05797
ESP,1.9.2012,-0.04435
ESP,1.12.2012,-0.02749
ESP,1.3.2013,-0.00919
ESP,1.6.2013,0.00866
ESP,1.9.2013,0.02401
ESP,1.12.2013,0.03503
ESP,1.3.2014,0.04071
ESP,1.6.2014,0.04104
ESP,1.9.2014,0.03686
ESP,1.12.2014,0.02976
ESP,1.3.2015,0.0215
ESP,1.6.2015,0.01367
ESP,1.9.2015,0.00777
ESP,1.12.2015,0.00501
ESP,1.3.2016,0.006
ESP,1.6.2016,0.01067
ESP,1.9.2016,0.01816
ESP,1.12.2016,0.02693
ESP,1.3.2017,0.03529
ESP,1.6.2017,0.04175
ESP,1.9.2017,0.04523
FIN,1.12.1971,0.11676
FIN,1.3.1972,0.11514
FIN,1.6.1972,0.11162
